Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2018/12/04, 23:54:00, -37.854767, 77.524208, 160.73,  288.00, 125, 0, 1.39, 1
2018/12/04, 23:59:18, -37.854725, 77.524147, 146.36,  360.00, 309, 0, 7.11, 1
2018/12/05, 00:05:02, -37.854717, 77.524170, 151.20,  252.00, 217, 0, 2.21, 1
2018/12/05, 00:10:44, -37.854694, 77.524162, 153.91,  0.00, 0, 0, 2.65, 1
2018/12/05, 00:15:48, -37.854679, 77.524170, 141.78,  0.00, 0, 0, 1.81, 1
2018/12/05, 00:20:52, -37.854721, 77.524185, 142.88,  0.00, 0, 0, 4.85, 1
2018/12/05, 00:25:56, -37.854679, 77.524200, 136.20,  0.00, 0, 0, 4.85, 1
2018/12/05, 00:31:00, -37.854687, 77.524185, 152.95,  0.00, 0, 0, 1.59, 1
2018/12/05, 00:36:04, -37.854656, 77.524193, 145.30,  0.00, 183, 0, 3.52, 1
2018/12/05, 00:41:09, -37.854721, 77.524124, 158.05,  0.00, 0, 0, 9.43, 1
2018/12/05, 00:46:13, -37.854675, 77.524162, 151.87,  0.00, 0, 0, 6.11, 1
2018/12/05, 00:51:16, -37.854675, 77.524155, 146.81,  0.00, 18, 0, 0.61, 1
2018/12/05, 00:56:19, -37.854668, 77.524193, 147.75,  0.00, 0, -4, 3.43, 1
2018/12/05, 01:01:22, -37.854656, 77.524200, 144.88,  0.00, 0, -2, 0.00, 1
2018/12/05, 01:06:24, -37.854733, 77.524178, 149.02,  0.00, 0, 0, 8.78, 1
2018/12/05, 01:11:25, -37.854607, 77.524200, 147.81,  0.00, 0, 0, 14.14, 
2018/12/05, 01:16:27, -37.854713, 77.524139, 151.82,  0.00, 81, 0, 12.95, 
2018/12/05, 01:21:30, -37.854767, 77.524124, 150.20,  0.00, 74, 0, 6.15, 
2018/12/05, 01:26:34, -37.854721, 77.524101, 144.80,  0.00, 196, 0, 5.50, 
2018/12/05, 01:31:40, -37.854576, 77.524139, 139.87,  0.00, 138, 0, 16.46, 
2018/12/05, 01:36:45, -37.854813, 77.524101, 156.30,  0.00, 191, 0, 26.56, 
2018/12/05, 01:41:49, -37.854805, 77.524208, 157.44,  0.00, 0, 0, 9.44, 
2018/12/05, 01:46:54, -37.854691, 77.524139, 147.12,  0.00, 0, 0, 14.05, 
2018/12/05, 01:51:59, -37.854744, 77.524155, 151.81,  0.00, 14, 0, 6.06, 
2018/12/05, 01:57:04, -37.854713, 77.524147, 149.37,  0.00, 0, 0, 3.52, 
2018/12/05, 02:02:17, -37.854824, 77.524139, 160.85,  0.00, 6, 0, 12.36, 
2018/12/05, 02:07:48, -37.854652, 77.524162, 151.40,  900.00, 1, 0, 19.23, 
2018/12/05, 02:13:38, -37.854694, 77.524124, 151.20,  1044.00, 168, 0, 5.74, 
2018/12/05, 02:21:02, -37.854748, 77.524055, 166.31,  504.00, 107, 0, 8.53, 
2018/12/05, 02:26:24, -37.854771, 77.524185, 148.01,  324.00, 134, 0, 11.70, 
2018/12/05, 02:32:49, -37.854713, 77.524101, 159.13,  1008.00, 0, 0, 9.80, 
2018/12/05, 02:38:04, -37.854736, 77.524185, 144.12,  144.00, 0, 0, 7.81, 
2018/12/05, 02:43:18, -37.854736, 77.524101, 161.69,  432.00, 0, 0, 7.37, 
2018/12/05, 02:48:26, -37.854687, 77.524086, 158.23,  360.00, 0, 0, 5.61, 
2018/12/05, 02:53:46, -37.854710, 77.524071, 159.08,  720.00, 294, 0, 2.88, 
2018/12/05, 02:59:09, -37.854767, 77.524078, 157.01,  720.00, 179, 0, 6.37, 
2018/12/05, 03:05:30, -37.854725, 77.524147, 150.22,  648.00, 194, 0, 7.65, 
2018/12/05, 03:13:21, -37.854752, 77.524124, 154.52,  0.00, 0, 0, 3.62, 
2018/12/05, 03:18:23, -37.854790, 77.524063, 156.05,  0.00, 0, 0, 6.82, 
2018/12/05, 03:23:26, -37.854733, 77.524132, 152.84,  0.00, 0, 0, 8.77, 
2018/12/05, 03:28:32, -37.854794, 77.524071, 154.29,  0.00, 0, 0, 8.64, 
2018/12/05, 03:33:38, -37.854706, 77.524155, 147.50,  0.00, 205, 0, 12.25, 
2018/12/05, 03:38:45, -37.854725, 77.524132, 154.42,  0.00, 220, 0, 2.92, 
2018/12/05, 03:43:51, -37.854778, 77.524124, 153.86,  0.00, 0, 0, 5.94, 
2018/12/05, 03:49:30, -37.854721, 77.524178, 147.04,  648.00, 40, 0, 7.92, 
2018/12/05, 03:54:38, -37.854763, 77.524078, 160.37,  0.00, 0, 0, 9.94, 
2018/12/05, 03:59:45, -37.854721, 77.524155, 150.65,  0.00, 0, 0, 8.22, 
2018/12/05, 04:04:52, -37.854698, 77.524193, 145.81,  0.00, 0, 0, 4.20, 
2018/12/05, 04:09:56, -37.854656, 77.524193, 146.16,  0.00, 0, 0, 4.67, 
2018/12/05, 04:15:02, -37.854771, 77.524124, 152.27,  0.00, 354, 0, 14.15, 
2018/12/05, 04:20:08, -37.854740, 77.524132, 155.80,  0.00, 0, 0, 3.52, 
2018/12/05, 04:25:14, -37.854683, 77.524147, 141.90,  0.00, 0, 0, 6.47, 
2018/12/05, 04:30:21, -37.854721, 77.524139, 152.43,  0.00, 0, 0, 4.28, 
2018/12/05, 04:35:28, -37.854710, 77.524147, 150.69,  0.00, 0, 0, 1.41, 
2018/12/05, 04:40:35, -37.854740, 77.524124, 147.37,  0.00, 0, 0, 3.90, 
2018/12/05, 04:45:44, -37.854759, 77.524101, 156.36,  0.00, 0, 0, 2.92, 
2018/12/05, 04:51:09, -37.854759, 77.524132, 154.30,  0.00, 15, 0, 2.72, 
2018/12/05, 04:56:47, -37.854809, 77.524147, 154.12,  324.00, 54, 0, 5.71, 
2018/12/05, 05:02:20, -37.854774, 77.524132, 150.43,  396.00, 0, 0, 4.11, 
2018/12/05, 05:08:55, -37.854694, 77.524132, 144.37,  360.00, 9, 0, 8.90, 
2018/12/05, 05:16:30, -37.854797, 77.524124, 156.26,  180.00, 5, 0, 11.47, 
2018/12/05, 05:25:08, -37.854759, 77.524162, 145.68,  0.00, 0, 0, 5.38, 
2018/12/05, 05:33:00, -37.854790, 77.524139, 135.95,  0.00, 178, 0, 3.99, 
2018/12/05, 05:38:13, -37.854847, 77.524101, 158.09,  0.00, 0, 0, 7.16, 
2018/12/05, 05:43:26, -37.854752, 77.524170, 144.03,  0.00, 0, 0, 12.18, 
2018/12/05, 05:48:39, -37.854782, 77.524117, 145.06,  0.00, 0, 0, 5.73, 
2018/12/05, 05:53:52, -37.854805, 77.524117, 151.19,  0.00, 0, 0, 2.56, 
2018/12/05, 05:59:06, -37.854744, 77.524139, 154.20,  0.00, 345, 0, 7.05, 
2018/12/05, 06:04:16, -37.854710, 77.524124, 141.52,  0.00, 0, 0, 4.00, 
2018/12/05, 06:09:21, -37.854744, 77.524162, 156.25,  0.00, 0, 0, 5.04, 
2018/12/05, 06:14:26, -37.854729, 77.524109, 139.66,  0.00, 0, 0, 4.94, 
2018/12/05, 06:19:31, -37.854713, 77.524178, 149.91,  0.00, 0, 0, 6.31, 
2018/12/05, 06:24:36, -37.854668, 77.524178, 135.34,  0.00, 0, 0, 5.00, 
2018/12/05, 06:29:42, -37.854691, 77.524178, 147.21,  576.00, 61, 0, 2.56, 
2018/12/05, 06:34:49, -37.854668, 77.524231, 152.88,  108.00, 0, 0, 5.31, 
2018/12/05, 06:39:59, -37.854687, 77.524155, 167.22,  432.00, 213, 0, 7.00, 
2018/12/05, 06:45:09, -37.854694, 77.524170, 138.42,  432.00, 0, 0, 1.53, 
2018/12/05, 06:50:25, -37.854713, 77.524162, 135.51,  648.00, 253, 0, 2.23, 
2018/12/05, 06:55:34, -37.854694, 77.524185, 143.58,  1224.00, 40, 0, 2.92, 
2018/12/05, 07:01:02, -37.854698, 77.524139, 135.20,  216.00, 31, 0, 4.06, 
2018/12/05, 07:06:08, -37.854744, 77.524162, 140.42,  0.00, 0, 0, 5.50, 
2018/12/05, 07:11:14, -37.854740, 77.524147, 151.35,  0.00, 340, 0, 1.39, 
2018/12/05, 07:16:21, -37.854717, 77.524155, 151.05,  0.00, 21, 0, 2.65, 
2018/12/05, 07:21:28, -37.854652, 77.524185, 148.38,  0.00, 17, 0, 7.69, 
2018/12/05, 07:26:35, -37.854713, 77.524155, 135.15,  216.00, 76, 0, 7.28, 
2018/12/05, 07:31:44, -37.854828, 77.524155, 153.03,  0.00, 178, 0, 12.79, 
2018/12/05, 07:37:28, -37.854504, 77.524124, 155.53,  216.00, 356, 0, 36.13, 
2018/12/05, 07:43:05, -37.854568, 77.524162, 155.11,  0.00, 33, 0, 7.86, 
2018/12/05, 07:50:32, -37.854584, 77.524162, 144.54,  216.00, 172, 0, 1.78, 
2018/12/05, 07:58:08, -37.854836, 77.524040, 161.37,  144.00, 357, 0, 30.00, 
2018/12/05, 08:06:00, -37.854824, 77.524033, 160.15,  0.00, 19, 0, 1.47, 
2018/12/05, 08:11:11, -37.854668, 77.524155, 150.28,  0.00, 0, 0, 20.39, 
2018/12/05, 08:16:22, -37.854630, 77.524208, 138.80,  0.00, 0, 0, 6.29, 
2018/12/05, 08:21:34, -37.854824, 77.524132, 169.55,  0.00, 0, 0, 22.58, 
2018/12/05, 08:26:45, -37.854733, 77.524124, 152.01,  0.00, 0, 0, 10.14, 
2018/12/05, 08:31:56, -37.854755, 77.524132, 169.27,  0.00, 6, 0, 2.55, 
2018/12/05, 08:37:07, -37.854763, 77.524155, 155.33,  0.00, 67, 0, 2.21, 
2018/12/05, 08:42:17, -37.854755, 77.524132, 152.50,  0.00, 0, 0, 2.21, 
2018/12/05, 08:47:28, -37.854736, 77.524162, 147.00,  0.00, 0, 0, 3.38, 
2018/12/05, 08:52:39, -37.854717, 77.524147, 141.46,  0.00, 0, 0, 2.49, 
2018/12/05, 08:57:51, -37.854736, 77.524117, 148.39,  0.00, 0, 0, 3.38, 
2018/12/05, 09:02:59, -37.854702, 77.524147, 150.79,  0.00, 0, 0, 4.61, 
2018/12/05, 09:07:58, -37.854645, 77.524162, 146.83,  0.00, 9, 0, 6.47, 
2018/12/05, 09:13:16, -37.854664, 77.524139, 151.62,  828.00, 4, 0, 2.92, 
2018/12/05, 09:18:36, -37.854702, 77.524132, 151.59,  864.00, 299, 0, 4.27, 
2018/12/05, 09:24:01, -37.854736, 77.524193, 138.78,  540.00, 138, 0, 6.56, 
2018/12/05, 09:29:26, -37.854740, 77.524162, 140.76,  612.00, 0, 0, 2.76, 
2018/12/05, 09:34:32, -37.854740, 77.524117, 159.82,  576.00, 257, 0, 3.95, 
2018/12/05, 09:39:38, -37.854687, 77.524094, 170.40,  252.00, 161, 0, 6.23, 
